id,capacity,operator,longitude,latitude
node/8235910200,11,EON,"9,5760752","56,1874688"
node/8283733945,8,Clever,"12,5540397","55,7015886"
node/8299530261,,,"10,502884","56,3798056"
node/8313641996,,e-on,"10,1612679","57,1523818"
node/8313642329,,e-on,"10,1580365","57,1542676"
node/8330066383,2,e-on,"12,5654979","55,7115851"
node/8330066384,2,e-on,"12,5654579","55,7115341"
node/8334632134,2,E.ON,"12,5407804","55,6925369"
node/8334632135,2,E.ON,"12,5408262","55,6925837"
node/8334632136,2,E.ON,"12,5408758","55,6926351"
node/8334632138,2,Clever,"12,5393865","55,6912217"
node/8334632139,2,Clever,"12,5394286","55,6912601"
node/8334632140,2,Clever,"12,5394697","55,6913012"
node/8334632141,2,Clever,"12,5395173","55,6913454"
node/8354981824,2,Clever,"12,58849","55,6966401"
node/8354981825,2,Clever,"12,5883918","55,696624"
node/8354981826,2,Clever,"12,588667","55,6966665"
node/8354981827,2,Clever,"12,5885913","55,6966563"
node/8390874958,,,"12,5643685","55,6969349"
node/8446081496,22,Clever,"10,6920802","56,1937613"
node/8450186536,2,Sperto,"12,551031","55,7017875"
node/8450186537,2,Sperto,"12,550681","55,7019785"
node/8450249794,,,"12,5672536","55,6946553"
node/8450249795,,,"12,5673092","55,6946864"
node/8450249796,,,"12,5673643","55,6947173"
node/8484490675,,Clever,"12,5774589","55,6910014"
node/8484490677,,Clever,"12,5774555","55,6908148"
node/8484490678,,Clever,"12,5774572","55,6909427"
node/8484490680,,Clever,"12,5758861","55,6898037"
node/8484490681,,Clever,"12,577456","55,6908927"
node/8513610651,10,Ionity,"12,2575021","55,5848668"
node/8515503057,2,Clever,"12,5044534","55,6542532"
node/8515503058,2,Clever,"12,5042501","55,6542995"
node/8522087776,2,E.ON,"12,3765472","55,7835399"
node/8522087777,2,E.ON,"12,3776919","55,782989"
node/8522087778,2,E.ON,"12,3777289","55,7829493"
node/8522087779,2,E.ON,"12,3777659","55,7829096"
node/8522087780,2,E.ON,"12,3778139","55,783394"
node/8522087781,2,E.ON,"12,377777","55,7834336"
node/8522087782,2,E.ON,"12,3777401","55,7834732"
node/8522087783,2,E.ON,"12,3776838","55,7835328"
node/8522087784,2,E.ON,"12,3776469","55,7835727"
node/8522087785,2,E.ON,"12,3776101","55,7836127"
node/8522087795,2,E.ON,"12,3765459","55,7835822"
node/8522118838,2,E.ON,"12,3778769","55,7827905"
node/8522118839,2,E.ON,"12,3778399","55,7828302"
node/8522118840,2,E.ON,"12,3778029","55,7828699"
node/8525724550,2,E-On,"12,5928169","55,6732569"
node/8525724551,2,E-On,"12,593033","55,673145"
node/8528950011,,Spirii,"8,5585964","55,0868124"
node/8570098536,2,Clever,"12,5735699","55,710816"
node/8570098537,2,Clever,"12,5735722","55,7106675"
node/8570098538,2,Clever,"12,5735773","55,7107168"
node/8570098539,2,Clever,"12,5735759","55,7107729"
node/8572255313,2,,"10,1391238","56,1076211"
node/8572255314,2,,"10,1385127","56,1073824"
node/8572255315,2,,"10,1384785","56,1073323"
node/8572255316,2,,"10,138451","56,1072901"
node/8572255317,2,,"10,1384148","56,1072377"
node/8589471993,2,Circle K,"9,9674705","57,0204137"
node/8638529140,,e-on,"9,5237377","56,8014841"
node/8656814412,2,E-On,"12,5682182","55,68082"
node/8664156195,,,"10,1989423","56,1543663"
node/8677764077,2,Spirii,"12,5800176","55,706726"
node/8677764078,2,Spirii,"12,5799417","55,7067262"
node/8677764079,2,Spirii,"12,5798653","55,706726"
node/8696699201,,,"12,5885783","55,6783458"
